FID,OBJECTID,ESDCode,ESD,ESDName,NAME,DistrictNa,Labels,CODE,CCDDD,CC,DDD,County,AddressLin,AddressL_1,City,State,Zipcode,Administra,Phone,Email,UNSD,SDLEA,Region,OrgId,DistrictId,WEBSITE,SHAPE_Leng,DistrictCode,DistrictName,DistrictOrganizationId,FREQUENCY,SUM_All_Students,SUM_Female,SUM_Gender_X,SUM_Male,SUM_American_Indian__Alaskan_Native,SUM_Asian,SUM_Black__African_American,SUM_Hispanic__Latino_of_any_race_s_,SUM_Native_Hawaiian__Other_Pacific_Islander,SUM_Two_or_More_Races,SUM_White,SUM_English_Language_Learners,SUM_Foster_Care,SUM_Homeless,SUM_Low_Income,SUM_Migrant,SUM_Military_Parent,SUM_Mobile,SUM_Section_504,SUM_Students_with_Disabilities,SUM_Non_English_Language_Learners,SUM_Non_Foster_Care,SUM_Non_Homeless,SUM_Non_Low_Income,SUM_Non_Migrant,SUM_Non_Military_Parent,SUM_Non_Mobile,SUM_Non_Section_504,SUM_Students_without_Disabilities,SHAPE_Length,SHAPE_Area
127,127,6801,112,Educational Service District 112,LYLE,LYLE SCHOOL DISTRICT,Lyle,20406,20406,20,406,Klickitat,PO BOX 368, ,LYLE,Washington,98635-0009,Ann  Varkados,(509)365-2191,ann.varkados@lyleschools.org,4590,4590,1,135,133,http://www.lyleschools.org/,474540.1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207372.5236,4900178460
128,128,29801,189,Northwest Educational Service District 189,LYNDEN,LYNDEN SCHOOL DISTRICT,Lynden,37504,37504,37,504,Whatcom,1203 BRADLEY RD, ,LYNDEN,Washington,98264-9514,James B Frey,(360)354-4443,freyj@lynden.wednet.edu,4620,4620,3,136,134,http://www.lynden.wednet.edu,224666.4112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104133.1235,1912442301
129,129,39801,105,Educational Service District 105,MABTON,MABTON SCHOOL DISTRICT,Mabton,39120,39120,39,120,Yakima,PO BOX 37, ,MABTON,Washington,98935-0037,Joseph Richard Castilleja,(509)894-4852,castillejaj@msd120.org,4650,4650,4,137,135,https://www.msd120.org/,291366.8474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128204.4197,4157742392
130,130,4801,171,North Central Educational Service District 171,MANSFIELD,MANSFIELD SCHOOL DISTRICT,Mansfield,9207,9207,9,207,Douglas,PO BOX 188, ,MANSFIELD,Washington,98830-0188,Michael  Messenger,(509)683-1012,mmessenger@mansfield.wednet.edu,4710,4710,4,138,136,http://www.mansfield.wednet.edu,551831.5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250435.0697,8595440764
131,131,4801,171,North Central Educational Service District 171,MANSON,MANSON SCHOOL DISTRICT,Manson,4019,4019,4,19,Chelan,PO BOX A, ,MANSON,Washington,98831-9668,Matt  Charlton,(509)687-3140,mcharlton@manson.org,4740,4740,4,139,137,http://www.manson.org,473150.0304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215644.7703,5807261840
132,132,34801,113,Capital Region ESD 113,MARY M KNIGHT,MARY M KNIGHT SCHOOL DISTRICT,Mary M. Knight,23311,23311,23,311,Mason,2987 W MATLOCK BRADY RD, ,ELMA,Washington,98541-9713,Ellen  Perconti,(360)426-6767,eperconti@mmk.wednet.edu,4800,4800,1,140,138,http://www.marymknight.com/,341398.8303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153187.4121,4984138502
133,133,32801,101,Educational Service District 101,MARY WALKER,MARY WALKER SCHOOL DISTRICT,Mary Walker,33207,33207,33,207,Stevens,PO BOX 159, ,SPRINGDALE,Washington,99173-0159,Rick  Winters,(509)258-4534,rwinters@marywalker.org,4830,4830,5,141,139,http://www.marywalker.org,527508.6425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240178.1842,6041953936
134,134,29801,189,Northwest Educational Service District 189,MARYSVILLE,MARYSVILLE SCHOOL DISTRICT,Marysville,31025,31025,31,25,Snohomish,4220 80TH ST NE, ,MARYSVILLE,Washington,98270-3498,Jason  Thompson,(360)965-0000,jason_thompson@msvl.k12.wa.us,4860,4860,3,142,140,http://www.msvl.k12.wa.us/,308579.0198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140650.92,2384169780
135,135,34801,113,Capital Region ESD 113,MCCLEARY,MCCLEARY SCHOOL DISTRICT,McCleary,14065,14065,14,65,Grays Harbor,611 S MAIN ST, ,MCCLEARY,Washington,98557-9524,Shannon  Ramsey,(360)495-3507,sramsey@mccleary.wednet.edu,4890,4890,1,143,141,http://www.mccleary.wednet.edu,145676.3301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65160.24184,741469188.8
136,136,32801,101,Educational Service District 101,MEAD,MEAD SCHOOL DISTRICT,Mead,32354,32354,32,354,Spokane,2323 E Farwell Rd, ,MEAD,Washington,99021-9690,Tom  Rockefeller,(509)465-6014,tom.rockefeller@mead354.org,4920,4920,5,144,142,http://www.mead354.org/,411369.0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186612.641,4597150336
137,137,32801,101,Educational Service District 101,MEDICAL LAKE,MEDICAL LAKE SCHOOL DISTRICT,Medical Lake,32326,32326,32,326,Spokane,PO BOX 128, ,MEDICAL LAKE,Washington,99022-0128,TIMOTHY D AMES,(509)565-3100,tames@mlsd.org,4950,4950,5,145,143,http://www.mlsd.org,326095.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147350.1982,2070323148
138,138,17801,121,Puget Sound Educational Service District 121,MERCER ISLAND,MERCER ISLAND SCHOOL DISTRICT,Mercer Island,17400,17400,17,400,King,4160 86TH AVE SE, ,MERCER ISLAND,Washington,98040-4196,Donna  Colosky,(206)236-3300,donna.colosky@mercerislandschools.org,4980,4980,2,146,144,http://www.mercerislandschools.org,93693.48579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42327.04914,379530376.8
139,139,29801,189,Northwest Educational Service District 189,MERIDIAN,MERIDIAN SCHOOL DISTRICT,Meridian,37505,37505,37,505,Whatcom,214 W LAUREL RD, ,BELLINGHAM,Washington,98226-9623,James  E Everett,(360)398-7111,jeverett@meridian.wednet.edu,5010,5010,3,147,145,http://www.meridian.wednet.edu,163985.3876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75888.73275,1046470890
140,140,4801,171,North Central Educational Service District 171,METHOW VALLEY,METHOW VALLEY SCHOOL DISTRICT,Methow Valley,24350,24350,24,350,Okanogan,18 TWIN LAKES RD, ,WINTHROP,Washington,98862-9713,Tom  Venable,(509)996-9205,tvenable@methow.org,5020,5020,4,148,146,http://www.methow.org/,1199364.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552395.6222,47797913754
141,141,6801,112,Educational Service District 112,MILL A,MILL A SCHOOL DISTRICT,Mill A,30031,30031,30,31,Skamania,1142 JESSUP RD, ,COOK,Washington,98605-9120,Bob  Rogers,(509)538-2700,brogers@millaschool.org,5040,5040,1,149,147,http://www.milla.k12.wa.us,176295.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77101.54102,1604212581
142,142,29801,189,Northwest Educational Service District 189,MONROE,MONROE SCHOOL DISTRICT,Monroe,31103,31103,31,103,Snohomish,200 East Fremont Street, ,MONROE,Washington,98272-2336,Fredrika  Smith,(360)804-2500,smithf@monroe.wednet.edu,5130,5130,3,150,148,http://www.monroe.wednet.edu/,295582.0929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134112.6718,2288571843
143,143,34801,113,Capital Region ESD 113,MONTESANO,MONTESANO SCHOOL DISTRICT,Montesano,14066,14066,14,66,Grays Harbor,502 E. Spruce Ave, ,MONTESANO,Washington,98563,Dan  Winter,(360)249-3942,dwinter@monteschools.org,5160,5160,1,151,149,http://www.monte.wednet.edu,548937.9607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245500.7672,6289534112
144,144,34801,113,Capital Region ESD 113,MORTON,MORTON SCHOOL DISTRICT,Morton,21214,21214,21,214,Lewis,PO BOX 1219, ,MORTON,Washington,98356-0048,John  Hannah,(360)496-5300,jhannah@morton.k12.wa.us,5190,5190,1,152,150,http://www.morton.k12.wa.us/,584490.1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259453.5057,6912193667
145,145,4801,171,North Central Educational Service District 171,MOSES LAKE,MOSES LAKE SCHOOL DISTRICT,Moses Lake,13161,13161,13,161,Grant,920 W IVY AVE, ,MOSES LAKE,Washington,98837-2047, , , ,5220,5220,4,153,151,http://www.moseslakeschools.org,603960.5116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270611.8551,12789396558
146,146,34801,113,Capital Region ESD 113,MOSSYROCK,MOSSYROCK SCHOOL DISTRICT,Mossyrock,21206,21206,21,206,Lewis,PO BOX 478, ,MOSSYROCK,Washington,98564-0478,Lisa  Grant,(360)983-3181,lgrant@mossyrockschools.org,5250,5250,1,154,152,http://www.mossyrockschools.org/Home,379983.8834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168155.7435,5212958163
147,147,39801,105,Educational Service District 105,MOUNT ADAMS,MOUNT ADAMS SCHOOL DISTRICT,Mount Adams,39209,39209,39,209,Yakima,PO BOX 578, ,WHITE SWAN,Washington,98952-0578,Curt  Guaglianone,(509)874-2611,cguaglianone@masd209.org,5280,5280,4,155,153,http://www.mtadams.wednet.edu,886167.9083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390590.7226,37637104262
148,148,29801,189,Northwest Educational Service District 189,MOUNT BAKER,MOUNT BAKER SCHOOL DISTRICT,Mount Baker,37507,37507,37,507,Whatcom,PO BOX 95, ,DEMING,Washington,98244-0095,Mary  Sewright,(360)383-2000,msewright@mtbaker.wednet.edu,5310,5310,3,156,154,http://www.mtbaker.wednet.edu,887131.2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410002.1305,18463498690
149,149,6801,112,Educational Service District 112,MOUNT PLEASANT,MOUNT PLEASANT SCHOOL DISTRICT,Mount Pleasant,30029,30029,30,29,Skamania,152 MARBLE RD, ,WASHOUGAL,Washington,98671-7913,Vicki  Sovold-Prendergast,(360)835-3371,vicki.prendergast@mtpleasantschool.org,5340,5340,1,157,155,http://www.mtpleasantschool.org/,76384.35047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33256.99369,214102797.3
150,150,39801,105,Educational Service District 105,EAST VALLEY (YAKIMA),EAST VALLEY SCHOOL DISTRICT (YAKIMA),East Valley,39090,39090,39,90,Yakima,2002 BEAUDRY RD, ,YAKIMA,Washington,98901-8012,John  Schieche,(509)573-7320,schieche.john@evsd90.org,5370,5370,4,71,69,http://www.evsd90.org,438104.6362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194063.0626,4802875520
151,151,29801,189,Northwest Educational Service District 189,MOUNT VERNON,MOUNT VERNON SCHOOL DISTRICT,Mount Vernon,29320,29320,29,320,Skagit,124 E LAWRENCE ST, ,MOUNT VERNON,Washington,98273-2999,Carl  Bruner,(360)428-6181,cbruner@mvsd320.org,5400,5400,3,158,156,http://www.mv.k12.wa.us,183574.8497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84232.57025,1071983387
152,152,29801,189,Northwest Educational Service District 189,MUKILTEO,MUKILTEO SCHOOL DISTRICT,Mukilteo,31006,31006,31,6,Snohomish,9401 SHARON DR, ,EVERETT,Washington,98204-2699,Marci L Larsen,(425)356-1220,LarsenML@Mukilteo.wednet.edu,5430,5430,3,159,157,http://www.mukilteo.wednet.edu/,216164.9794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98308.46311,1397129820
153,153,39801,105,Educational Service District 105,NACHES VALLEY,NACHES VALLEY SCHOOL DISTRICT,Naches Valley,39003,39003,39,3,Yakima,PO BOX 99, ,NACHES,Washington,98937-9744,Duane  Lyons,(509)653-2220,dlyons@nvsd.org,5460,5460,4,160,158,http://www.nvsd.org/,995874.6986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443238.8678,25891604065
154,154,34801,113,Capital Region ESD 113,NAPAVINE,NAPAVINE SCHOOL DISTRICT,Napavine,21014,21014,21,14,Lewis,PO BOX 840, ,NAPAVINE,Washington,98565-0840,Geoff D Parks,(360)262-3303,gparks@napavineschools.org,5490,5490,1,161,159,http://www.napavineschools.org/,179446.7134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79531.02448,668130898.3
155,155,6801,112,Educational Service District 112,NASELLE-GRAYS RIVER VALLEY,NASELLE-GRAYS RIVER VALLEY SCHOOL DISTRICT,Naselle-Grays River Vly.,25155,25155,25,155,Pacific,793 STATE ROUTE 4, ,NASELLE,Washington,98638-8541,Lisa  Nelson,(360)484-7121,lnelson@naselleschools.org,5520,5520,1,162,160,http://www.naselle.wednet.edu/,531475.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234791.6062,7725415649
156,156,4801,171,North Central Educational Service District 171,NESPELEM,NESPELEM SCHOOL DISTRICT #14,Nespelem,24014,24014,24,14,Okanogan,PO BOX 291, ,NESPELEM,Washington,99155-0291,Mary  Hall,(509)634-4541,mhall@nsdeagles.org,5550,5550,4,163,161,http://www.nsdeagles.org/,514031.0079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235286.1373,11315542873
157,157,32801,101,Educational Service District 101,NEWPORT,NEWPORT SCHOOL DISTRICT,Newport,26056,26056,26,56,Pend Oreille,PO BOX 70, ,NEWPORT,Washington,99156-0070,David E. Smith,(509)447-3167 Ext.4501,smithdave@newportgriz.com,5610,5610,5,164,162,http://www.newport.wednet.edu/,728246.6106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333145.8254,10126320635
158,158,32801,101,Educational Service District 101,NINE MILE FALLS,NINE MILE FALLS SCHOOL DISTRICT,Nine Mile Falls,32325,32325,32,325,Spokane,10110 W CHARLES RD, ,NINE MILE FALLS,Washington,99026-8623,Brian L Talbott,(509)340-4303,btalbott@9mile.org,5640,5640,5,165,163,http://www.9mile.org,345724.8361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156891.6166,2115577300
159,159,29801,189,Northwest Educational Service District 189,NOOKSACK VALLEY,NOOKSACK VALLEY SCHOOL DISTRICT,Nooksack Valley,37506,37506,37,506,Whatcom,PO BOX 4307, ,EVERSON,Washington,98247-9232,Mark  Johnson,(360)988-4754,mark.johnson@nooksackschools.org,5670,5670,3,166,164,http://www.nv.k12.wa.us,863685.3592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399941.4602,4921148912
160,160,34801,113,Capital Region ESD 113,NORTH BEACH,NORTH BEACH SCHOOL DISTRICT,N. Beach,14064,14064,14,64,Grays Harbor,PO BOX 159, ,OCEAN SHORES,Washington,98569-9563,Andrew E. Kelly,(360)289-2447,akelly@northbeachschools.org,5700,5700,1,167,165,http://www.northbeach.k12.wa.us/,384263.6011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172164.4846,5727660634
161,161,11801,123,Educational Service District 123,NORTH FRANKLIN,NORTH FRANKLIN SCHOOL DISTRICT,N. Franklin,11051,11051,11,51,Franklin,PO BOX 829, ,CONNELL,Washington,99326-0829,Jim   Jacobs,(509)234-2021,jjacobs@nfsd.org,5730,5730,4,168,166,http://www.nfsd.org/,825829.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366282.851,17496851136
162,162,18801,114,Olympic Educational Service District 114,NORTH KITSAP,NORTH KITSAP SCHOOL DISTRICT,N. Kitsap,18400,18400,18,400,Kitsap,18360 Caldart Ave NE, ,POULSBO,Washington,98370,Dr. Laurynn  Evans,(360)396-3001,levans@nkschools.org,5760,5760,2,169,167,http://www.nkschools.org,335662.6123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152290.2216,4726439916
163,163,18801,114,Olympic Educational Service District 114,NORTH MASON,NORTH MASON SCHOOL DISTRICT,N. Mason,23403,23403,23,403,Mason,250 East Campus Drive, ,BELFAIR,Washington,98528,Dana  Rosenbach,(360)277-2300,drosenbach@northmasonschools.org,5790,5790,2,170,168,http://www.nmsd.wednet.edu/,312460.7644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140759.8797,4313025664
164,164,34801,113,Capital Region ESD 113,NORTH RIVER,NORTH RIVER SCHOOL DISTRICT,N. River,25200,25200,25,200,Pacific,2867 N RIVER RD, ,COSMOPOLIS,Washington,98537-9743,David  Pickering,(360)532-3079,dpickering@nr.k12.wa.us,5820,5820,1,171,169,http://www.nr.k12.wa.us/,311574.4913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138699.5329,3409278106
165,165,34801,113,Capital Region ESD 113,NORTH THURSTON,NORTH THURSTON PUBLIC SCHOOLS,N. Thurston,34003,34003,34,3,Thurston,305 COLLEGE ST NE, ,LACEY,Washington,98516-5390,Debra  Clemens,(360)412-4413,superintendent@nthurston.k12.wa.us,5850,5850,1,172,170,http://www.nthurston.k12.wa.us,276098.0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123553.8472,2436729594
166,166,32801,101,Educational Service District 101,NORTHPORT,NORTHPORT SCHOOL DISTRICT,Northport,33211,33211,33,211,Stevens,404 10TH ST,PO Box 1280,NORTHPORT,Washington,99157-1280,Don Patrick Baribault,(509)732-4430,dbaribault@northportschools.org,5880,5880,5,173,171,http://www.northportschools.org,510444.7167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236321.8402,9410607398
167,167,17801,121,Puget Sound Educational Service District 121,NORTHSHORE,NORTHSHORE SCHOOL DISTRICT,Northshore,17417,17417,17,417,King,3330 Monte Villa Parkway, ,BOTHELL,Washington,98021-8972,Michelle  Reid,(425)408-7701,mreid@nsd.org,5910,5910,2,174,172,http://www.nsd.org,247922.7618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112355.9393,1665743541
168,168,29801,189,Northwest Educational Service District 189,OAK HARBOR,OAK HARBOR SCHOOL DISTRICT,Oak Harbor,15201,15201,15,201,Island,350 S OAK HARBOR ST, ,OAK HARBOR,Washington,98277-5015,Lance  Gibbon,(360)279-5008,lgibbon@ohsd.net,5940,5940,3,175,173,http://www.ohsd.net,327687.8704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150013.1738,4540951999
169,169,32801,101,Educational Service District 101,OAKESDALE,OAKESDALE SCHOOL DISTRICT,Oakesdale,38324,38324,38,324,Whitman,PO BOX 228, ,OAKESDALE,Washington,99158-0228,Jake  Dingman,(509)285-5296,jdingman@gonighthawks.net,5970,5970,5,176,174,http://www.gonighthawks.net/,421562.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188813.2658,3493527769
170,170,34801,113,Capital Region ESD 113,OAKVILLE,OAKVILLE SCHOOL DISTRICT,Oakville,14400,14400,14,400,Grays Harbor,PO BOX H, ,OAKVILLE,Washington,98568-0090,Richard  Staley,(360)273-0171,rstaley@oakvilleschools.org,6000,6000,1,177,175,http://www.oakvilleschools.org/,279590.3234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124529.0735,3111770722
171,171,6801,112,Educational Service District 112,OCEAN BEACH,OCEAN BEACH SCHOOL DISTRICT,Ocean Beach,25101,25101,25,101,Pacific,PO Box 778, ,LONG BEACH,Washington,98631-0778,Scott  Fenter,(360)642-3739,scott.fenter@oceanbeachschools.org,6060,6060,1,178,176,http://www.ocean.k12.wa.us/,531771.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235365.1656,9555184334
172,172,34801,113,Capital Region ESD 113,OCOSTA,OCOSTA SCHOOL DISTRICT,Ocosta,14172,14172,14,172,Grays Harbor,2580 S MONTESANO ST, ,WESTPORT,Washington,98595-9746,Kurt  Hilyard,(360)268-9125 Ext.1000,khilyard@ocosta.org,6090,6090,1,179,177,http://www.ocosta.k12.wa.us/,417997.9806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186147.4937,6888225079
173,173,32801,101,Educational Service District 101,ODESSA,ODESSA SCHOOL DISTRICT,Odessa,22105,22105,22,105,Lincoln,PO BOX 248, ,ODESSA,Washington,99159-0248,Dan  Read,(509)982-2668,readd@odessa.wednet.edu,6120,6120,5,180,178,http://www.odessa.wednet.edu,793331.1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356760.1144,16720982634
174,174,4801,171,North Central Educational Service District 171,OKANOGAN,OKANOGAN SCHOOL DISTRICT,Okanogan,24105,24105,24,105,Okanogan,PO BOX 592, ,OKANOGAN,Washington,98840-0592,Ashley  Goetz,(509)422-3629,agoetz@oksd.wednet.edu,6150,6150,4,181,179,http://www.oksd.wednet.edu,658470.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301402.2404,15875140852
175,175,34801,113,Capital Region ESD 113,OLYMPIA,OLYMPIA SCHOOL DISTRICT,Olympia,34111,34111,34,111,Thurston,1113 LEGION WAY SE, ,OLYMPIA,Washington,98501-1697,Patrick  Murphy,(360)596-6117,pmurphy@osd.wednet.edu,6180,6180,1,182,180,https://osd.wednet.edu/,393579.0788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176053.1835,2605345089
176,176,4801,171,North Central Educational Service District 171,OMAK,OMAK SCHOOL DISTRICT,Omak,24019,24019,24,19,Okanogan,PO BOX 833, ,OMAK,Washington,98841-9700,Erik  Swanson,(509)826-0320,eswanson@omaksd.org,6220,6220,4,183,181,http://www.omaksd.org/,795578.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365482.4385,13862594216
177,177,34801,113,Capital Region ESD 113,ONALASKA,ONALASKA SCHOOL DISTRICT,Onalaska,21300,21300,21,300,Lewis,540 CARLISLE AVE, ,ONALASKA,Washington,98570-9654,Jeff  Davis,(360)978-4111,jdavis@onysd.wednet.edu,6240,6240,1,184,182,http://www.onysd.wednet.edu/,449135.5959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199312.6589,6341230449
178,178,32801,101,Educational Service District 101,ONION CREEK,ONION CREEK SCHOOL DISTRICT,Onion Creek,33030,33030,33,30,Stevens,2006 LOTZE CREEK RD, ,COLVILLE,Washington,99114-8602,Rebekah  Angus,(509)732-4240,rangus@ocsd30.org,6270,6270,5,185,183,http://www.ocsd30.org/,190281.0561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87955.611,1432965896
179,179,29801,189,Northwest Educational Service District 189,ORCAS ISLAND,ORCAS ISLAND SCHOOL DISTRICT,Orcas Is.,28137,28137,28,137,San Juan,557 SCHOOL RD, ,EASTSOUND,Washington,98245-9457,Eric   Webb,(360)376-1501,ewebb@orcas.k12.wa.us,6300,6300,3,186,184,http://www.orcasislandschools.org,357591.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164900.184,6374218016
180,180,32801,101,Educational Service District 101,ORCHARD PRAIRIE,ORCHARD PRAIRIE SCHOOL DISTRICT,Orchard Prairie,32123,32123,32,123,Spokane,7626 N ORCHARD PRAIRIE RD, ,SPOKANE,Washington,99217-9766,Howard  King,(509)467-9517,hking@orchardprairie.org,6330,6330,5,187,185,http://www.orchardprairie.org/,57986.66378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26254.102,159776673
181,181,32801,101,Educational Service District 101,ORIENT,ORIENT SCHOOL DISTRICT,Orient,10065,10065,10,65,Ferry,374 4th Ave, ,ORIENT,Washington,99160,Sherry  Cowbrough,(509)684-6873,sherry.cowbrough@orientsd.org,6360,6360,5,188,186,http://www.orientsd.org/,468027.3278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216494.8603,8619858159
182,182,4801,171,North Central Educational Service District 171,ORONDO,ORONDO SCHOOL DISTRICT,Orondo,9013,9013,9,13,Douglas,100 ORONDO SCHOOL RD, ,ORONDO,Washington,98843-9723,Dr. Ismael  Vivanco,(509)784-1333,ivivanco@orondo.wednet.edu,6390,6390,4,189,187,http://www.orondo.wednet.edu,215465.8961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97540.72284,1078306457
183,183,4801,171,North Central Educational Service District 171,OROVILLE,OROVILLE SCHOOL DISTRICT,Oroville,24410,24410,24,410,Okanogan,816 JUNIPER, ,OROVILLE,Washington,98844-0000,Jeff  Hardesty,(509)476-2281,jeff.hardesty@oroville.wednet.edu,6420,6420,4,190,188,http://oroville.ss19.sharpschool.com/,539450.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249778.7918,9736347527
184,184,17801,121,Puget Sound Educational Service District 121,ORTING,ORTING SCHOOL DISTRICT,Orting,27344,27344,27,344,Pierce,121 Whitesell St NE, ,ORTING,Washington,98360-8403,Marci  Shepard,(360)893-6500,shepardm@orting.wednet.edu,6450,6450,2,191,189,http://www.orting.wednet.edu/,222288.2247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99488.64094,1284635824
185,185,11801,123,Educational Service District 123,OTHELLO,OTHELLO SCHOOL DISTRICT,Othello,1147,1147,1,147,Adams,1025 S 1st Ave, ,OTHELLO,Washington,99344-1463,Chris  Hurst,(509)488-2659,churst@othelloschools.org,6480,6480,4,192,190,https://www.othelloschools.org/,495293.0486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220548.8496,8304943812
186,186,4801,171,North Central Educational Service District 171,PALISADES,PALISADES SCHOOL DISTRICT,Palisades,9102,9102,9,102,Douglas,1114 PALISADES RD, ,PALISADES,Washington,98845-9609,Ismael  Vivanco,(509)884-8071,ishv@ncesd.org,6510,6510,4,193,191,http://www.palisades.wednet.edu,375723.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169113.8365,2190788169
187,187,32801,101,Educational Service District 101,PALOUSE,PALOUSE SCHOOL DISTRICT,Palouse,38301,38301,38,301,Whitman,600 E ALDER ST, ,PALOUSE,Washington,99161-8780,Calvin Leon Johnson,(509)878-1921,cjohnson@garpal.net,6540,6540,5,194,192,http://www.garpal.wednet.edu,237616.0967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106006.6765,1884870375
188,188,11801,123,Educational Service District 123,PASCO,PASCO SCHOOL DISTRICT,Pasco,11001,11001,11,1,Franklin,1215 W LEWIS ST, ,PASCO,Washington,99301-5472,Michelle I. Whitney,(509)543-6700,mwhitney@psd1.org,6570,6570,4,195,193,https://www.psd1.org/,452136.7037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199620.8585,8448904038
189,189,4801,171,North Central Educational Service District 171,PATEROS,PATEROS SCHOOL DISTRICT,Pateros,24122,24122,24,122,Okanogan,PO BOX 98, ,PATEROS,Washington,98846-0098,Greg  Goodnight,(509)923-2751,ggoodnight@pateros.org,6600,6600,4,196,194,http://www.pateros.org/,567187.1466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258653.1382,6934696922
190,190,11801,123,Educational Service District 123,PATERSON,PATERSON SCHOOL DISTRICT,Paterson,3050,3050,3,50,Benton,PO BOX 189, ,PATERSON,Washington,99345-0189,John  Seaton,(509)875-2601,johnse@paterson.wednet.edu,6630,6630,4,197,195,http://www.patersonschool.org/,468999.3941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205688.69,6092603379
191,191,34801,113,Capital Region ESD 113,PE ELL,PE ELL SCHOOL DISTRICT,Pe Ell,21301,21301,21,301,Lewis,PO BOX 368, ,PE ELL,Washington,98572-0368,Kyle  MacDonald,(360)291-3244,kmacdonald@peell.k12.wa.us,6660,6660,1,198,196,http://www.peell.k12.wa.us/,375685.6768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166626.1777,4125012280
